Symbol,Exchange,Name,Last_Price,Market_Cap,IPO_Year,Sector,Industry
NEWT,NASDAQ,Newtek Business Services Corp.,20.92,398707188.12,1969,,
NEWTI,NASDAQ,Newtek Business Services Corp.,25.7,,1969,,
NEWTZ,NASDAQ,Newtek Business Services Corp.,26.119,,1969,,
NEXA,NYSE,Nexa Resources S.A.,12.58,1677172053.54,2017,Basic Industries,Precious Metals
NEXT,NASDAQ,NextDecade Corporation,5.15,565731486.1,2015,Public Utilities,Oil & Gas Production
NFBK,NASDAQ,"Northfield Bancorp, Inc.",14.5,721718432.5,1969,Finance,Savings Institutions
NFC,NYSE,New Frontier Corporation,9.95,286062500.0,2018,Finance,Business Services
NFC.U,NYSE,New Frontier Corporation,0.0,0.0,2018,,
NFC.WS,NYSE,New Frontier Corporation,0.0,0.0,1969,,
NFE,NASDAQ,New Fortress Energy LLC,11.8,245879809.6,2019,Public Utilities,Oil/Gas Transmission
NFG,NYSE,National Fuel Gas Company,60.38,5209497037.6,1969,Public Utilities,Oil/Gas Transmission
NFJ,NYSE,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.19,1155631272.39,2005,Finance,Finance: Consumer Services
NFLX,NASDAQ,"Netflix, Inc.",363.92,158886961420.24,2002,Consumer Services,Consumer Electronics/Video Chains
NFTY,NASDAQ,First Trust India Nifty 50 Equal Weight ETF,37.8551,3785585.7102,1969,,
NG,AMEX,Novagold Resources Inc.,4.37,1421310183.85,1969,Basic Industries,Precious Metals
NGD,AMEX,New Gold Inc.,0.9301,538635132.1591,1969,Basic Industries,Precious Metals
NGG,NYSE,"National Grid Transco, PLC",54.45,37137294112.05,1969,Public Utilities,Natural Gas Distribution
NGHC,NASDAQ,National General Holdings Corp,23.84,2697078871.52,1969,Finance,Property-Casualty Insurers
NGHCN,NASDAQ,National General Holdings Corp,22.78,4556000.0,1969,Finance,Property-Casualty Insurers
NGHCO,NASDAQ,National General Holdings Corp,22.94,3785100.0,1969,Finance,Property-Casualty Insurers
NGHCP,NASDAQ,National General Holdings Corp,24.0,52800000.0,1969,Finance,Property-Casualty Insurers
NGHCZ,NASDAQ,National General Holdings Corp,25.3719,,1969,Finance,Property-Casualty Insurers
NGL,NYSE,NGL ENERGY PARTNERS LP,13.98,1740628788.06,2011,Energy,Oil Refining/Marketing
NGLS^A,NYSE,Targa Resources Partners LP,27.1987,,1969,,
NGL^B,NYSE,NGL ENERGY PARTNERS LP,23.8315,,1969,,
NGL^C,NYSE,NGL ENERGY PARTNERS LP,25.089,,1969,,
NGM,NASDAQ,"NGM Biopharmaceuticals, Inc.",16.22,1054197911.32,2019,Health Care,Major Pharmaceuticals
NGS,NYSE,"Natural Gas Services Group, Inc.",18.01,237606722.44,2002,Energy,Oilfield Services/Equipment
NGVC,NYSE,"Natural Grocers by Vitamin Cottage, Inc.",12.61,282548436.56,2012,Consumer Services,Food Chains
NGVT,NYSE,Ingevity Corporation,113.6,4743222819.2,2016,Basic Industries,Major Chemicals
NH,NASDAQ,"NantHealth, Inc.",0.8895,97775305.0065,2016,Technology,EDP Services
NHA,NYSE,Nuveen Municipal 2021 Target Term Fund,9.73,83898978.03,2016,,
NHC,AMEX,National HealthCare Corporation,74.83,1145197571.7,1969,Health Care,Hospital/Nursing Management
NHF,NYSE,NexPoint Strategic Opportunities Fund,22.0,711533152.0,1969,,
NHI,NYSE,"National Health Investors, Inc.",77.98,3351888576.96,1969,Consumer Services,Real Estate Investment Trusts
NHLD,NASDAQ,National Holdings Corporation,2.91,36696685.95,1969,Finance,Investment Bankers/Brokers/Service
NHLDW,NASDAQ,National Holdings Corporation,0.3618,,1969,Finance,Investment Bankers/Brokers/Service
NHS,AMEX,Neuberger Berman High Yield Strategies Fund,11.65,227647815.25,1969,,
NHTC,NASDAQ,Natural Health Trends Corp.,12.42,141291062.64,1969,Consumer Durables,Consumer Specialties
NI,NYSE,"NiSource, Inc",27.87,10394651576.13,1969,Public Utilities,Power Generation
NICE,NASDAQ,NICE Ltd,124.95,5243165769.45,1969,Technology,Computer Manufacturing
NICK,NASDAQ,"Nicholas Financial, Inc.",9.37,74115275.76,1969,Finance,Finance Companies
NID,NYSE,Nuveen Intermediate Duration Municipal Term Fund,13.18,618269318.8,2012,,
NIE,NYSE,AllianzGI Equity & Convertible Income Fund,21.57,597682375.05,2007,,
NIHD,NASDAQ,"NII Holdings, Inc.",1.89,191604359.52,1969,Public Utilities,Telecommunications Equipment
NIM,NYSE,Nuveen Select Maturities Municipal Fund,10.13,126071527.19,1992,,
NINE,NYSE,"Nine Energy Service, Inc.",22.8,687297655.2,2018,Energy,Oilfield Services/Equipment
NIO,NYSE,NIO Inc.,5.05,5181350732.3,2018,Capital Goods,Auto Manufacturing
NIQ,NYSE,Nuveenn Intermediate Duration Quality Municipal Term Fund,13.05,170917729.2,2013,,
NITE,NASDAQ,Nightstar Therapeutics plc,25.44,368795386.56,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NIU,NASDAQ,Niu Technologies,11.99,83930000.0,2018,Capital Goods,Auto Manufacturing
NI^B,NYSE,"NiSource, Inc",26.72,,1969,Public Utilities,Power Generation
NJR,NYSE,NewJersey Resources Corporation,48.76,4328541882.68,1969,Public Utilities,Oil/Gas Transmission
NJV,NYSE,Nuveen New Jersey Municipal Value Fund,13.26,20299150.56,1969,,
NK,NASDAQ,"NantKwest, Inc.",1.33,105186686.22,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NKE,NYSE,"Nike, Inc.",84.88,106670804334.32,1969,Consumer Non-Durables,Shoe Manufacturing
NKG,NYSE,Nuveen Georgia Quality Municipal Income Fund ,11.9966,124762396.6358,2002,,
NKSH,NASDAQ,"National Bankshares, Inc.",41.8,271932993.2,1969,Finance,Major Banks
NKTR,NASDAQ,Nektar Therapeutics,35.83,6238162765.97,1969,Health Care,Major Pharmaceuticals
NKX,NYSE,Nuveen California AMT-Free Quality Municipal Income Fund,14.06,668135896.04,2002,,
